# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
7.527495	1888.867137	1078.127629	810.739509
7.541513	1876.536400	1064.859285	811.677114
7.555530	1864.245944	1051.659208	812.586735
7.569548	1851.997197	1038.528921	813.468275
7.583566	1839.791551	1025.469911	814.321641
7.597583	1827.630366	1012.483626	815.146740
7.611601	1815.514964	999.571477	815.943487
7.625619	1803.446633	986.734837	816.711796
7.639636	1791.426627	973.975041	817.451586
7.653654	1779.456163	961.293386	818.162777
7.667672	1767.536425	948.691131	818.845294
7.681689	1755.668562	936.169498	819.499064
7.695707	1743.853687	923.729670	820.124017
7.709725	1732.092880	911.372793	820.720087
7.723742	1720.387185	899.099975	821.287210
7.737760	1708.737613	886.912288	821.825326
7.751778	1697.145140	874.810764	822.334376
7.765795	1685.610707	862.796400	822.814307
7.779813	1674.135221	850.870154	823.265067
7.793831	1662.719557	839.032950	823.686607
7.807849	1651.364555	827.285671	824.078884
7.821866	1640.071022	815.629168	824.441854
7.835884	1628.839732	804.064253	824.775479
7.849902	1617.671424	792.591701	825.079723
7.863919	1606.566807	781.212253	825.354554
7.877937	1595.526556	769.926614	825.599942
7.891955	1584.551314	758.735454	825.815860
7.905972	1573.641693	747.639406	826.002286
7.919990	1562.798271	736.639071	826.159200
7.934008	1552.021596	725.735012	826.286584
7.948025	1541.312186	714.927761	826.384425
7.962043	1530.670527	704.217814	826.452713
7.976061	1520.097075	693.605635	826.491440
7.990078	1509.592255	683.091653	826.500602
8.004096	1499.156464	672.676265	826.480199
8.018114	1488.790067	662.359836	826.430231
8.032131	1478.493403	652.142697	826.350705
8.046149	1468.266780	642.025150	826.241630
8.060167	1458.110479	632.007463	826.103016
8.074184	1448.024753	622.089874	825.934879
8.088202	1438.009827	612.272590	825.737237
8.102220	1428.065899	602.555788	825.510111
8.116238	1418.193141	592.939617	825.253525
8.130255	1408.391699	583.424192	824.967507
8.144273	1398.661692	574.009604	824.652087
8.158291	1389.003213	564.695913	824.307300
8.172308	1379.416332	555.483150	823.933182
8.186326	1369.901094	546.371320	823.529774
8.200344	1360.457520	537.360402	823.097118
8.214361	1351.085605	528.450344	822.635261
8.228379	1341.785324	519.641072	822.144252
8.242397	1332.556628	510.932484	821.624144
8.256414	1323.399446	502.324454	821.074992
8.270432	1314.313683	493.816828	820.496855
8.284450	1305.299227	485.409432	819.889795
8.298467	1296.355942	477.102064	819.253877
8.312485	1287.483671	468.894502	818.589169
8.326503	1278.682239	460.786499	817.895740
8.340520	1269.951451	452.777785	817.173666
8.354538	1261.291093	444.868070	816.423024
8.368556	1252.700932	437.057040	815.643892
8.382573	1244.180718	429.344363	814.836355
8.396591	1235.730181	421.729684	814.000497
8.410609	1227.349036	414.212628	813.136409
8.424627	1219.036982	406.792802	812.244180
8.438644	1210.793700	399.469793	811.323907
