   520.002563     (  -9.62009525     ,  0.495350093     )
   520.747864     (  -9.64259243     ,  0.501698434     )
   521.493225     (  -9.67423248     ,  0.517340660     )
   522.238525     (  -9.71286964     ,  0.540094852     )
   522.983887     (  -9.74740505     ,  0.551196873     )
   523.729248     (  -9.77655983     ,  0.547006726     )
   524.474548     (  -9.80856800     ,  0.542321384     )
   525.219910     (  -9.84728813     ,  0.536471486     )
   525.965210     (  -9.88788319     ,  0.531882584     )
   526.710571     (  -9.93801498     ,  0.533711672     )
   527.455872     (  -9.98760128     ,  0.535555482     )
   528.201233     (  -10.0196238     ,  0.537875533     )
   528.946594     (  -10.0516453     ,  0.540195584     )
   529.691895     (  -10.0959520     ,  0.533212602     )
   530.437256     (  -10.1416836     ,  0.525150299     )
   531.182556     (  -10.1872501     ,  0.538876235     )
   531.927917     (  -10.2327652     ,  0.559410274     )
   532.673218     (  -10.2696705     ,  0.565450549     )
   533.418579     (  -10.3014708     ,  0.562898099     )
   534.163940     (  -10.3422155     ,  0.557314456     )
   534.909241     (  -10.3921366     ,  0.548621058     )
   535.654602     (  -10.4338531     ,  0.544651031     )
   536.399902     (  -10.4609518     ,  0.549097478     )
   537.145264     (  -10.4905529     ,  0.554114103     )
   537.890564     (  -10.5287590     ,  0.561091661     )
   538.635925     (  -10.5665073     ,  0.567664266     )
   539.381287     (  -10.5996923     ,  0.570198774     )
   540.126587     (  -10.6328773     ,  0.572733343     )
   540.871948     (  -10.6656027     ,  0.580888510     )
   541.617249     (  -10.6983070     ,  0.589296579     )
   542.362610     (  -10.7248182     ,  0.577568650     )
   543.107910     (  -10.7499943     ,  0.561502218     )
   543.853271     (  -10.7939949     ,  0.558947921     )
   544.598633     (  -10.8465137     ,  0.562508404     )
   545.343933     (  -10.8873138     ,  0.567548990     )
   546.089294     (  -10.9186878     ,  0.573780060     )
   546.834595     (  -10.9539967     ,  0.577878654     )
   547.579956     (  -10.9947395     ,  0.579032004     )
   548.325317     (  -11.0393381     ,  0.583759010     )
   549.070618     (  -11.0935755     ,  0.597418308     )
   549.815979     (  -11.1461506     ,  0.608693063     )
   550.561279     (  -11.1894217     ,  0.606609404     )
   551.306641     (  -11.2325811     ,  0.604378819     )
   552.051941     (  -11.2694006     ,  0.593743503     )
   552.797302     (  -11.3062201     ,  0.583108187     )
   553.542664     (  -11.3486290     ,  0.583319604     )
   554.287964     (  -11.3917809     ,  0.584970832     )
   555.033325     (  -11.4308577     ,  0.598159790     )
   555.778625     (  -11.4685650     ,  0.615226686     )
   556.523987     (  -11.5097971     ,  0.615548134     )
   557.269287     (  -11.5532427     ,  0.605349243     )
   558.014648     (  -11.5922575     ,  0.608984411     )
   558.760010     (  -11.6264668     ,  0.627619088     )
   559.505310     (  -11.6595087     ,  0.636152983     )
   560.250671     (  -11.6903362     ,  0.625538707     )
   560.995972     (  -11.7218113     ,  0.616221726     )
   561.741333     (  -11.7557077     ,  0.611756325     )
   562.486633     (  -11.7892208     ,  0.608225942     )
   563.231995     (  -11.8181000     ,  0.615966201     )
   563.977356     (  -11.8469801     ,  0.623706520     )
   564.722656     (  -11.8919926     ,  0.639021933     )
   565.468018     (  -11.9379959     ,  0.654802501     )
   566.213318     (  -11.9775944     ,  0.651392341     )
   566.958679     (  -12.0156689     ,  0.643413186     )
   567.703979     (  -12.0501642     ,  0.639755666     )
   568.449341     (  -12.0829220     ,  0.638196349     )
   569.194702     (  -12.1232595     ,  0.635176718     )
   569.940002     (  -12.1700869     ,  0.630906701     )
   570.685364     (  -12.2217569     ,  0.623688519     )
   571.430664     (  -12.2805681     ,  0.612124562     )
   572.176025     (  -12.3310595     ,  0.612505794     )
   572.921326     (  -12.3590279     ,  0.645226657     )
   573.666687     (  -12.3906260     ,  0.673417330     )
   574.412048     (  -12.4454527     ,  0.672611952     )
   575.157349     (  -12.5002823     ,  0.671803594     )
   575.902710     (  -12.5605383     ,  0.665961981     )
   576.648010     (  -12.6207933     ,  0.660120308     )
   577.393372     (  -12.6554461     ,  0.657701254     )
   578.138733     (  -12.6861372     ,  0.655811846     )
   578.884033     (  -12.7172270     ,  0.656064510     )
   579.629395     (  -12.7484646     ,  0.657103896     )
   580.374695     (  -12.7900181     ,  0.665686727     )
   581.120056     (  -12.8385439     ,  0.679367006     )
   581.865356     (  -12.8772106     ,  0.692753315     )
   582.610718     (  -12.9044046     ,  0.705797434     )
   583.356079     (  -12.9336443     ,  0.717910528     )
   584.101379     (  -12.9670858     ,  0.728112042     )
   584.846741     (  -13.0040979     ,  0.732622445     )
   585.592041     (  -13.0560513     ,  0.713309407     )
   586.337402     (  -13.1065683     ,  0.694577217     )
   587.082703     (  -13.1338110     ,  0.685256839     )
   587.828064     (  -13.1610537     ,  0.675936460     )
   588.573425     (  -13.1996508     ,  0.674027383     )
   589.318726     (  -13.2391891     ,  0.672732770     )
   590.064087     (  -13.2842293     ,  0.676170051     )
   590.809387     (  -13.3307428     ,  0.680875421     )
   591.554749     (  -13.3773537     ,  0.691687167     )
   592.300049     (  -13.4240150     ,  0.705731273     )
   593.045410     (  -13.4662733     ,  0.719823837     )
   593.790771     (  -13.5044527     ,  0.733961344     )
   594.536072     (  -13.5463161     ,  0.737913728     )
   595.281433     (  -13.5940809     ,  0.725549519     )
   596.026733     (  -13.6469526     ,  0.718227088     )
   596.772095     (  -13.7151842     ,  0.726066828     )
   597.517395     (  -13.7780600     ,  0.731751621     )
   598.262756     (  -13.7996168     ,  0.720814109     )
   599.008118     (  -13.8211746     ,  0.709876597     )
   599.753418     (  -13.8712187     ,  0.714409471     )
   600.498779     (  -13.9218473     ,  0.719259560     )
   601.244080     (  -13.9743958     ,  0.734475255     )
   601.989441     (  -14.0272961     ,  0.751591623     )
   602.734741     (  -14.0703516     ,  0.753371119     )
   603.480103     (  -14.1093884     ,  0.748891830     )
   604.225464     (  -14.1434603     ,  0.758322895     )
   604.970764     (  -14.1738663     ,  0.778021753     )
   605.716125     (  -14.2139635     ,  0.780391335     )
   606.461426     (  -14.2663717     ,  0.760747135     )
   607.206787     (  -14.3124857     ,  0.750901937     )
   607.952148     (  -14.3442945     ,  0.763330400     )
   608.697449     (  -14.3734035     ,  0.768350124     )
   609.442810     (  -14.3893986     ,  0.737368107     )
   610.188110     (  -14.4067812     ,  0.708406985     )
   610.933472     (  -14.4616327     ,  0.733996332     )
   611.678772     (  -14.5164843     ,  0.759585679     )
   612.424133     (  -14.5671349     ,  0.766793549     )
   613.169495     (  -14.6173220     ,  0.771976709     )
   613.914795     (  -14.6405516     ,  0.788485587     )
   614.660156     (  -14.6555386     ,  0.808457375     )
   615.405457     (  -14.6940145     ,  0.801354945     )
   616.150818     (  -14.7462339     ,  0.778412938     )
   616.896118     (  -14.8024006     ,  0.774714887     )
   617.641479     (  -14.8625793     ,  0.790574551     )
   618.386841     (  -14.9213715     ,  0.799036384     )
   619.132141     (  -14.9777088     ,  0.794399738     )
   619.877502     (  -15.0241795     ,  0.790382981     )
   620.622803     (  -15.0368414     ,  0.788490295     )
   621.368164     (  -15.0541086     ,  0.788506866     )
